,Volumes,9366545922,10951817102,3436800000,7686802192
,Neuron ID,SLM,SR,SP,SO
CA1 Pyramidal,4000,,,,33625678.55
,,16707194.6,26232952.07,1253540.207,15344602.48
CA1 Cajal-Retzius ,4094,8359725.258,,,
,,2764764.65,,,
CA1 Radiatum Giant,4054,,,,60450981.93
,,23737516.62,46714969.86,,
CA1 Axo-Axonic,4036,,,36756647.58,
,,16355296.8,14254466.93,2776865.054,8936683.438
CA1 Horizontal Axo-Axonic,4038,,,23944260.36,
,,,,,7004375.373
CA1 Back-Projection ,4023,122008310.2,87479224.38,57462603.88,82903047.09
,,,,7939058.172,23030470.91
CA1 Basket,4078,,,42003207.45,
,,6381167.99,21970247.86,2655522.217,22694948.15
CA1 Basket CCK+,4079,,,50894336.98,
,,12848601.68,23747639.32,9788854.371,14261662.03
CA1 Horizontal Basket,4039,,,141936568.6,
,,,,,153717027
CA1 Bistratified,4080,,130238505.4,26145519.31,66534151.42
,,,44218500.9,7098222.128,25938804.03
CA1 Interneuron Specific LMO-O,4022,,,,37003845.89
,,20391119.53,,,12325955.6
CA1 Interneuron Specific LM-R,4021,,12832828.26,,
,,8297548.868,,,
CA1 Interneuron Specific LMR-R,4056,,13844985,,
,,10005975,4307835,,
CA1 Interneuron Specific O-R,4031,,46444643.49,,
,,,,,30811784.35
CA1 Interneuron Specific O-Targeting QuadD,4020,,,,5833974.263
,,21634423.36,20126611.61,808803.1046,5295658.421
CA1 Interneuron Specific R-O,4091,,,,6823414.653
,,,1367698.644,2819045.619,
CA1 Interneuron Specific RO-O,4093,,,,34263573
,,,8028624.792,,8092343.809
CA1 Ivy,4081,,40652461.58,31575707.95,65655791.72
,,,10970389.27,16348972.11,8007498.858
CA1 LMR,4005,40723998.93,99704649.29,,
,,7922601.451,11938726.15,,
CA1 LMR Projecting,4004,76142516.8,80485464.82,,
,,45181126.7,43117660,,
CA1 Neurogliaform,4012,43236819.04,,,
,,12235910.63,,,
CA1 Neurogliaform Projecting,4011,46895914.49,,,
,,13926625.13,,,
CA1 O-LM,4069,63118339.9,,,
,,,,,17775914.06
CA1 Recurrent O-LM,4089,254203556.2,,,62294468.87
,,,,,106809106
CA1 O-LMR,4087,28756721.78,38204806.58,,
,,,,,9145966.196
CA1 Oriens/Alveus,4055,,,13607240.41,41402596.32
,,11743577.6,18228950.62,2028711.953,15814357.99
CA1 Oriens-Bistratified,4083,,65946274.71,,10423590.33
,,,,,14026415.62
CA1 Oriens-Bistratified Projecting,4068,54888274.49,118325442.8,38846223.97,177309937.1
,,,,,46727250.78
CA1 OR-LM,4066,33222117.73,,,
,,,90210071.03,,20838743.1
CA1 Perforant Path-Associated,4006,262206793,,,
,,27584912.74,29484706.32,,
CA1 Perforant Path-Associated QuadD,4076,299512729.9,,,
,,50058525.05,152814483.8,4054456.286,18940080.73
CA1 Quadrilaminar,4003,30990403.66,90649135.99,4015606.857,18440748.58
,,30861006.76,69085035.18,4042654.19,34178300.66
CA1 Radiatum,4028,,139339518.2,,
,,,50006350.1,,
CA1 R-Receiving Apical-Targeting,4061,163047446.9,316413854.2,,
,,,51142803.4,,
CA1 Schaffer Collateral-Assoc,4015,,88627858.6,41328473.88,30472709.56
,,11164164.19,64489751.69,,
CA1 Schaffer Collateral-Receiving R-Targeting ,4084,,31753921.51,,
,,,17579225.6,5970748.465,5358664.554
CA1 SO-SO,4033,,,,126426197.1
,,,,,77874949.56
CA1 Hippocampo-Subicular Projecting ENK+ ,4041,,31337962.96,15918209.88,269284722.2
,,,26395061.73,,3550925.926
CA1 Trilaminar,4035,,107855005.5,134322606.7,77158420.14
,,,,,51124565.97
CA1 Radial Trilaminar,4013,,78142157.17,11429286.3,74347407.27
,,22267759.22,51483497.01,5340339.025,23642876.5
